magnitude,mmi,sig,nst,dmin,gap,depth,latitude,longitude
7.6,8.0,965.0,272.0,3.158,12.0,116.0,-6.2237,146.471
8.1,8.0,1025.0,439.0,0.0,14.7,24.0,-8.466,157.043
7.1,6.0,779.0,426.0,0.0,25.3,34.0,-20.617,169.357
6.7,4.0,691.0,521.0,0.0,13.7,200.7,-14.344,167.286
6.9,5.0,910.0,519.0,0.0,21.1,27.0,36.164,141.526
8.1,5.0,1034.0,606.0,0.0,14.0,10.0,46.243,154.524
6.8,3.0,733.0,0.0,5.32,16.0,559.0,-20.6588,-63.0058
6.8,6.0,711.0,545.0,0.0,15.7,36.0,-10.951,162.161
6.8,7.0,744.0,561.0,0.0,20.0,22.0,-6.224,29.83
6.6,5.0,671.0,0.0,1.872,20.0,22.0,-9.3438,158.053
6.7,8.0,1600.0,0.0,0.173,22.0,63.0,-30.0404,-71.3815
6.8,6.0,711.0,292.0,0.0,0.0,24.9,16.985,-100.865
6.5,4.0,650.0,0.0,7.994,24.0,25.0,-30.2144,-177.773
6.5,4.0,651.0,0.0,5.194,22.0,371.0,-17.1171,-176.545
6.5,4.0,650.0,260.0,0.0,0.0,30.0,14.101,146.199
6.5,7.0,998.0,0.0,2.365,28.0,90.0,-7.4921,108.174
7.8,7.0,1726.0,807.0,0.0,42.7,14.0,52.788,-132.101
7.1,8.0,1790.0,0.0,0.0,0.0,46.7,61.3464,-149.955
6.6,5.0,692.0,0.0,1.98,44.0,9.45,26.0913,-110.321
6.9,6.0,1144.0,0.0,0.671,10.0,9.0,37.3931,141.387
6.7,6.0,696.0,543.0,0.0,15.1,25.0,-2.245,99.808
6.9,7.0,798.0,466.0,0.0,31.6,10.0,21.974,120.493
6.6,4.0,671.0,0.0,7.818,18.0,35.0,-13.336,166.875
8.1,8.0,1021.0,0.0,0.739,21.0,28.93,-29.7466,-177.224
7.1,3.0,776.0,0.0,3.77,12.0,630.0,-11.0355,-70.8284
7.1,5.0,945.0,672.0,0.0,12.4,206.7,-1.266,-77.306
6.5,5.0,708.0,598.0,0.0,57.3,20.0,14.129,-92.164
6.6,4.0,1120.0,0.0,1.405,55.0,8.45,40.4535,-126.194
6.7,3.0,691.0,0.0,2.705,17.0,461.0,52.8549,153.243
7.0,6.0,754.0,445.0,0.0,17.5,8.8,-10.499,165.588
7.8,8.0,1165.0,434.0,0.0,16.8,12.0,-45.762,166.562
6.8,5.0,711.0,0.0,3.619,18.0,10.0,-11.1093,163.215
7.2,7.0,1054.0,397.0,0.0,30.1,24.0,-38.355,-73.326
7.6,7.0,889.0,0.0,2.828,13.0,22.56,-11.2701,162.148
7.7,7.0,916.0,283.0,0.0,23.2,45.0,-13.006,166.51
7.5,6.0,868.0,0.0,7.227,38.0,47.23,-57.5959,-25.1874
6.8,7.0,841.0,0.0,0.258,41.0,46.0,-30.8796,-71.4519
6.9,3.0,737.0,702.0,0.0,20.9,28.0,-16.592,-172.033
6.6,6.0,670.0,0.0,3.803,11.0,29.0,-6.6558,155.087
6.5,6.0,654.0,0.0,1.64,21.0,36.0,-10.3506,161.335
6.7,6.0,708.0,0.0,2.188,43.0,28.0,-0.6831,98.6034
6.6,7.0,780.0,0.0,0.646,24.0,15.0,6.7567,125.008
6.8,7.0,954.0,0.0,2.268,15.0,14.0,37.5203,20.5565
7.6,7.0,891.0,502.0,0.0,20.0,90.0,-4.539,153.474
7.6,7.0,893.0,567.0,0.0,33.5,17.0,-29.539,-176.34
6.8,6.0,747.0,653.0,0.0,17.6,15.0,2.966,-77.963
7.2,7.0,1104.0,698.0,0.0,19.6,36.0,38.276,142.039
6.5,1.0,651.0,0.0,5.139,18.0,576.0,-25.415,178.199
